# Carcara potential-energy surface: H2 (H-H)
# method: RHF total energy; reference E=0 at sum of isolated atom UHF energies
# grid: box_size=7.0 A, spacing=0.12 A (uniform real-space)
# E(atoms) [hydrogenic] = -0.98799831 Ha
# E(atoms) [STO-3G] = -0.98165632 Ha
# E(atoms) [6-31G(d)] = -0.98717870 Ha
distance_angstrom,hydrogenic_total_Ha,hydrogenic_rel_eV,sto-3g_total_Ha,sto-3g_rel_eV,6-31g(d)_total_Ha,6-31g(d)_rel_eV
0.50000000,-0.93704534,1.38650087,-0.93025204,1.39878165,-1.00628340,-0.51986559
0.60000000,-1.03158499,-1.18605406,-1.02383423,-1.14771944,-1.08110641,-2.55590339
0.70000000,-1.06838395,-2.18740471,-1.06239188,-2.19692642,-1.10017948,-3.07490786
0.80000000,-1.08837545,-2.73140123,-1.08211272,-2.73355786,-1.10867917,-3.30619629
0.90000000,-1.08771461,-2.71341871,-1.08203394,-2.73141434,-1.09917024,-3.04744503
1.00000000,-1.07803054,-2.44990189,-1.07270462,-2.47755035,-1.08352808,-2.62180017
1.10000000,-1.06756628,-2.16515476,-1.06156319,-2.17437682,-1.06938909,-2.23705877
1.20000000,-1.04589630,-1.57548464,-1.04095409,-1.61357450,-1.04581427,-1.59555531
1.30000000,-1.03207731,-1.19945067,-1.02608212,-1.20888764,-1.03098662,-1.19207444
1.40000000,-1.00911507,-0.57461643,-1.00395234,-0.60670568,-1.00871888,-0.58613820
1.50000000,-0.99147151,-0.09451068,-0.98586414,-0.11450058,-0.99191656,-0.12892391
1.60000000,-0.97338290,0.39770553,-0.96748387,0.38565204,-0.97526747,0.32412093
1.70000000,-0.95200317,0.97947761,-0.94668747,0.95155076,-0.95655824,0.83322495
1.80000000,-0.93918392,1.32830712,-0.93265170,1.33348355,-0.94479112,1.15342469
1.90000000,-0.91756610,1.91655801,-0.91205790,1.89386936,-0.92688370,1.64071040
2.00000000,-0.90596530,2.23223180,-0.89939549,2.23843114,-0.91643739,1.92496912
2.10000000,-0.88922360,2.68779663,-0.88301648,2.68412671,-0.90265959,2.29988207
2.20000000,-0.87494485,3.07634124,-0.86876604,3.07190111,-0.89078915,2.62289312
2.30000000,-0.86531187,3.33846812,-0.85832287,3.35607398,-0.88213942,2.85826420
2.40000000,-0.84863323,3.79231702,-0.84269773,3.78125571,-0.86913580,3.21211092
2.50000000,-0.84309630,3.94298444,-0.83585059,3.96757598,-0.86331594,3.37047723
