series,k_invAng,band_eV
path,-3.141593,-63.343728
path,-3.110177,-63.352012
path,-3.078761,-63.377193
path,-3.047345,-63.420240
path,-3.015929,-63.482724
path,-2.984513,-63.566740
path,-2.953097,-63.674809
path,-2.921681,-63.809750
path,-2.890265,-63.974525
path,-2.858849,-64.172072
path,-2.827433,-64.405116
path,-2.796017,-64.675990
path,-2.764602,-64.986451
path,-2.733186,-65.337531
path,-2.701770,-65.729416
path,-2.670354,-66.161369
path,-2.638938,-66.631715
path,-2.607522,-67.137871
path,-2.576106,-67.676438
path,-2.544690,-68.243334
path,-2.513274,-68.833961
path,-2.481858,-69.443399
path,-2.450442,-70.066596
path,-2.419026,-70.698548
path,-2.387610,-71.334472
path,-2.356194,-71.969927
path,-2.324779,-72.600923
path,-2.293363,-73.223986
path,-2.261947,-73.836184
path,-2.230531,-74.435142
path,-2.199115,-75.019016
path,-2.167699,-75.586458
path,-2.136283,-76.136575
path,-2.104867,-76.668863
path,-2.073451,-77.183158
path,-2.042035,-77.679572
path,-2.010619,-78.158440
path,-1.979203,-78.620267
path,-1.947787,-79.065679
path,-1.916372,-79.495383
path,-1.884956,-79.910132
path,-1.853540,-80.310692
path,-1.822124,-80.697815
path,-1.790708,-81.072224
path,-1.759292,-81.434591
path,-1.727876,-81.785529
path,-1.696460,-82.125583
path,-1.665044,-82.455223
path,-1.633628,-82.774849
path,-1.602212,-83.084784
path,-1.570796,-83.385287
path,-1.539380,-83.676548
path,-1.507964,-83.958707
path,-1.476549,-84.231852
path,-1.445133,-84.496034
path,-1.413717,-84.751276
path,-1.382301,-84.997581
path,-1.350885,-85.234942
path,-1.319469,-85.463349
path,-1.288053,-85.682799
path,-1.256637,-85.893302
path,-1.225221,-86.094882
path,-1.193805,-86.287588
path,-1.162389,-86.471492
path,-1.130973,-86.646690
path,-1.099557,-86.813308
path,-1.068142,-86.971494
path,-1.036726,-87.121423
path,-1.005310,-87.263290
path,-0.973894,-87.397313
path,-0.942478,-87.523725
path,-0.911062,-87.642774
path,-0.879646,-87.754719
path,-0.848230,-87.859826
path,-0.816814,-87.958370
path,-0.785398,-88.050624
path,-0.753982,-88.136862
path,-0.722566,-88.217358
path,-0.691150,-88.292377
path,-0.659734,-88.362182
path,-0.628319,-88.427026
path,-0.596903,-88.487153
path,-0.565487,-88.542797
path,-0.534071,-88.594181
path,-0.502655,-88.641516
path,-0.471239,-88.685002
path,-0.439823,-88.724825
path,-0.408407,-88.761160
path,-0.376991,-88.794169
path,-0.345575,-88.824000
path,-0.314159,-88.850789
path,-0.282743,-88.874660
path,-0.251327,-88.895724
path,-0.219911,-88.914081
path,-0.188496,-88.929816
path,-0.157080,-88.943005
path,-0.125664,-88.953711
path,-0.094248,-88.961984
path,-0.062832,-88.967866
path,-0.031416,-88.971383
path,0.000000,-88.972554
path,0.031416,-88.971383
