k_index,k_fractional,energy_eV,spectral_weight_per_eV
0,-0.3750000000,-35.0000000000,2.0170340124e-04
0,-0.3750000000,-34.9699957137,1.8732739468e-04
0,-0.3750000000,-34.9399914273,1.7532291621e-04
0,-0.3750000000,-34.9099871410,1.6582391282e-04
0,-0.3750000000,-34.8799828547,1.5872406639e-04
0,-0.3750000000,-34.8499785684,1.5376137021e-04
0,-0.3750000000,-34.8199742820,1.5072076623e-04
0,-0.3750000000,-34.7899699957,1.4953242191e-04
0,-0.3750000000,-34.7599657094,1.5016133006e-04
0,-0.3750000000,-34.7299614231,1.5238776700e-04
0,-0.3750000000,-34.6999571367,1.5566296839e-04
0,-0.3750000000,-34.6699528504,1.5923854255e-04
0,-0.3750000000,-34.6399485641,1.6260096969e-04
0,-0.3750000000,-34.6099442778,1.6570183106e-04
0,-0.3750000000,-34.5799399914,1.6853248062e-04
0,-0.3750000000,-34.5499357051,1.7068482800e-04
0,-0.3750000000,-34.5199314188,1.7175302541e-04
0,-0.3750000000,-34.4899271324,1.7208880559e-04
0,-0.3750000000,-34.4599228461,1.7269684031e-04
0,-0.3750000000,-34.4299185598,1.7432719343e-04
0,-0.3750000000,-34.3999142735,1.7685911478e-04
0,-0.3750000000,-34.3699099871,1.7955560957e-04
0,-0.3750000000,-34.3399057008,1.8198480242e-04
0,-0.3750000000,-34.3099014145,1.8473894483e-04
0,-0.3750000000,-34.2798971282,1.8917447122e-04
0,-0.3750000000,-34.2498928418,1.9657262225e-04
0,-0.3750000000,-34.2198885555,2.0748481690e-04
0,-0.3750000000,-34.1898842692,2.2127197749e-04
0,-0.3750000000,-34.1598799829,2.3566678258e-04
0,-0.3750000000,-34.1298756965,2.4696386481e-04
0,-0.3750000000,-34.0998714102,2.5187806177e-04
0,-0.3750000000,-34.0698671239,2.5018146884e-04
0,-0.3750000000,-34.0398628375,2.4499955420e-04
0,-0.3750000000,-34.0098585512,2.4041392056e-04
0,-0.3750000000,-33.9798542649,2.3944950173e-04
0,-0.3750000000,-33.9498499786,2.4377876664e-04
0,-0.3750000000,-33.9198456922,2.5421832473e-04
0,-0.3750000000,-33.8898414059,2.7125363623e-04
0,-0.3750000000,-33.8598371196,2.9537723261e-04
0,-0.3750000000,-33.8298328333,3.2693029571e-04
0,-0.3750000000,-33.7998285469,3.6507233930e-04
0,-0.3750000000,-33.7698242606,4.0616867760e-04
0,-0.3750000000,-33.7398199743,4.4308530140e-04
0,-0.3750000000,-33.7098156880,4.6742698085e-04
0,-0.3750000000,-33.6798114016,4.7395401780e-04
0,-0.3750000000,-33.6498071153,4.6271879674e-04
0,-0.3750000000,-33.6198028290,4.3763428884e-04
0,-0.3750000000,-33.5897985426,4.0454451270e-04
0,-0.3750000000,-33.5597942563,3.6992191612e-04
0,-0.3750000000,-33.5297899700,3.3935968723e-04
0,-0.3750000000,-33.4997856837,3.1629670987e-04
0,-0.3750000000,-33.4697813973,3.0184994941e-04
0,-0.3750000000,-33.4397771110,2.9527556461e-04
0,-0.3750000000,-33.4097728247,2.9428641666e-04
0,-0.3750000000,-33.3797685384,2.9544827344e-04
0,-0.3750000000,-33.3497642520,2.9550083655e-04
0,-0.3750000000,-33.3197599657,2.9310956194e-04
0,-0.3750000000,-33.2897556794,2.8878423617e-04
0,-0.3750000000,-33.2597513931,2.8285632267e-04
0,-0.3750000000,-33.2297471067,2.7453661902e-04
0,-0.3750000000,-33.1997428204,2.6319152876e-04
0,-0.3750000000,-33.1697385341,2.4945258931e-04
0,-0.3750000000,-33.1397342477,2.3470438059e-04
0,-0.3750000000,-33.1097299614,2.2038759278e-04
0,-0.3750000000,-33.0797256751,2.0784492839e-04
0,-0.3750000000,-33.0497213888,1.9812432915e-04
0,-0.3750000000,-33.0197171024,1.9179862444e-04
0,-0.3750000000,-32.9897128161,1.8906105995e-04
0,-0.3750000000,-32.9597085298,1.8994588032e-04
0,-0.3750000000,-32.9297042435,1.9448154234e-04
0,-0.3750000000,-32.8996999571,2.0274113551e-04
0,-0.3750000000,-32.8696956708,2.1484114014e-04
0,-0.3750000000,-32.8396913845,2.3089825154e-04
0,-0.3750000000,-32.8096870982,2.5074924455e-04
0,-0.3750000000,-32.7796828118,2.7316645844e-04
0,-0.3750000000,-32.7496785255,2.9488217133e-04
0,-0.3750000000,-32.7196742392,3.1073736030e-04
0,-0.3750000000,-32.6896699529,3.1621459118e-04
0,-0.3750000000,-32.6596656665,3.1089723131e-04
0,-0.3750000000,-32.6296613802,2.9901523413e-04
0,-0.3750000000,-32.5996570939,2.8639767504e-04
0,-0.3750000000,-32.5696528075,2.7746538907e-04
0,-0.3750000000,-32.5396485212,2.7456801370e-04
0,-0.3750000000,-32.5096442349,2.7874086771e-04
0,-0.3750000000,-32.4796399486,2.9041247144e-04
0,-0.3750000000,-32.4496356622,3.0949652109e-04
0,-0.3750000000,-32.4196313759,3.3490704712e-04
0,-0.3750000000,-32.3896270896,3.6390425251e-04
0,-0.3750000000,-32.3596228033,3.9241859147e-04
0,-0.3750000000,-32.3296185169,4.1757595935e-04
0,-0.3750000000,-32.2996142306,4.4074152484e-04
0,-0.3750000000,-32.2696099443,4.6693443221e-04
0,-0.3750000000,-32.2396056580,5.0056068563e-04
0,-0.3750000000,-32.2096013716,5.4132251061e-04
0,-0.3750000000,-32.1795970853,5.8206150344e-04
0,-0.3750000000,-32.1495927990,6.0916678396e-04
0,-0.3750000000,-32.1195885126,6.0826804245e-04
0,-0.3750000000,-32.0895842263,5.7460491992e-04
0,-0.3750000000,-32.0595799400,5.1738702887e-04
0,-0.3750000000,-32.0295756537,4.5199033341e-04
0,-0.3750000000,-31.9995713673,3.9025152481e-04
0,-0.3750000000,-31.9695670810,3.3764742645e-04
0,-0.3750000000,-31.9395627947,2.9521462931e-04
0,-0.3750000000,-31.9095585084,2.6197799659e-04
0,-0.3750000000,-31.8795542220,2.3640392132e-04
0,-0.3750000000,-31.8495499357,2.1700913632e-04
0,-0.3750000000,-31.8195456494,2.0251159349e-04
0,-0.3750000000,-31.7895413631,1.9178945352e-04
0,-0.3750000000,-31.7595370767,1.8383854717e-04
0,-0.3750000000,-31.7295327904,1.7788134906e-04
0,-0.3750000000,-31.6995285041,1.7357229084e-04
0,-0.3750000000,-31.6695242177,1.7097831685e-04
0,-0.3750000000,-31.6395199314,1.7020957729e-04
0,-0.3750000000,-31.6095156451,1.7095296421e-04
0,-0.3750000000,-31.5795113588,1.7215994329e-04
0,-0.3750000000,-31.5495070724,1.7216731704e-04
0,-0.3750000000,-31.5195027861,1.6955084632e-04
0,-0.3750000000,-31.4894984998,1.6417048757e-04
0,-0.3750000000,-31.4594942135,1.5716648861e-04
0,-0.3750000000,-31.4294899271,1.4998597099e-04
0,-0.3750000000,-31.3994856408,1.4364542133e-04
0,-0.3750000000,-31.3694813545,1.3861932939e-04
0,-0.3750000000,-31.3394770682,1.3501868989e-04
0,-0.3750000000,-31.3094727818,1.3278746074e-04
0,-0.3750000000,-31.2794684955,1.3183179380e-04
0,-0.3750000000,-31.2494642092,1.3208546087e-04
0,-0.3750000000,-31.2194599228,1.3353794773e-04
0,-0.3750000000,-31.1894556365,1.3624679083e-04
0,-0.3750000000,-31.1594513502,1.4034560773e-04
0,-0.3750000000,-31.1294470639,1.4605114087e-04
0,-0.3750000000,-31.0994427775,1.5366498417e-04
0,-0.3750000000,-31.0694384912,1.6355381981e-04
0,-0.3750000000,-31.0394342049,1.7607088747e-04
0,-0.3750000000,-31.0094299186,1.9135382917e-04
0,-0.3750000000,-30.9794256322,2.0894254938e-04
0,-0.3750000000,-30.9494213459,2.2734252079e-04
0,-0.3750000000,-30.9194170596,2.4412144385e-04
0,-0.3750000000,-30.8894127733,2.5721730673e-04
0,-0.3750000000,-30.8594084869,2.6654537334e-04
0,-0.3750000000,-30.8294042006,2.7360684134e-04
0,-0.3750000000,-30.7993999143,2.7939519118e-04
0,-0.3750000000,-30.7693956279,2.8358554640e-04
0,-0.3750000000,-30.7393913416,2.8596134541e-04
0,-0.3750000000,-30.7093870553,2.8768987494e-04
0,-0.3750000000,-30.6793827690,2.9033333769e-04
0,-0.3750000000,-30.6493784826,2.9389511512e-04
0,-0.3750000000,-30.6193741963,2.9649793230e-04
0,-0.3750000000,-30.5893699100,2.9643308602e-04
0,-0.3750000000,-30.5593656237,2.9452375221e-04
0,-0.3750000000,-30.5293613373,2.9398732075e-04
0,-0.3750000000,-30.4993570510,2.9836762011e-04
0,-0.3750000000,-30.4693527647,3.1008886624e-04
0,-0.3750000000,-30.4393484784,3.3008666226e-04
0,-0.3750000000,-30.4093441920,3.5741401874e-04
0,-0.3750000000,-30.3793399057,3.8822324427e-04
0,-0.3750000000,-30.3493356194,4.1507923103e-04
0,-0.3750000000,-30.3193313330,4.2921373391e-04
0,-0.3750000000,-30.2893270467,4.2641716757e-04
0,-0.3750000000,-30.2593227604,4.1071140254e-04
0,-0.3750000000,-30.2293184741,3.9055985292e-04
0,-0.3750000000,-30.1993141877,3.7234962348e-04
0,-0.3750000000,-30.1693099014,3.5750530362e-04
0,-0.3750000000,-30.1393056151,3.4371834156e-04
0,-0.3750000000,-30.1093013288,3.2841045009e-04
0,-0.3750000000,-30.0792970424,3.1169756963e-04
0,-0.3750000000,-30.0492927561,2.9619234189e-04
0,-0.3750000000,-30.0192884698,2.8469385710e-04
0,-0.3750000000,-29.9892841835,2.7867015357e-04
0,-0.3750000000,-29.9592798971,2.7815593124e-04
0,-0.3750000000,-29.9292756108,2.8229956451e-04
0,-0.3750000000,-29.8992713245,2.9013675203e-04
0,-0.3750000000,-29.8692670381,3.0111316241e-04
0,-0.3750000000,-29.8392627518,3.1470394810e-04
0,-0.3750000000,-29.8092584655,3.2940044438e-04
0,-0.3750000000,-29.7792541792,3.4201509100e-04
0,-0.3750000000,-29.7492498928,3.4820138834e-04
0,-0.3750000000,-29.7192456065,3.4466392948e-04
0,-0.3750000000,-29.6892413202,3.3155876951e-04
0,-0.3750000000,-29.6592370339,3.1249013778e-04
0,-0.3750000000,-29.6292327475,2.9190209617e-04
0,-0.3750000000,-29.5992284612,2.7264956664e-04
0,-0.3750000000,-29.5692241749,2.5582492169e-04
0,-0.3750000000,-29.5392198886,2.4189640754e-04
0,-0.3750000000,-29.5092156022,2.3134298921e-04
0,-0.3750000000,-29.4792113159,2.2451352026e-04
0,-0.3750000000,-29.4492070296,2.2141066010e-04
0,-0.3750000000,-29.4192027432,2.2164729049e-04
0,-0.3750000000,-29.3891984569,2.2446997488e-04
0,-0.3750000000,-29.3591941706,2.2894485807e-04
0,-0.3750000000,-29.3291898843,2.3449959761e-04
0,-0.3750000000,-29.2991855979,2.4149116109e-04
0,-0.3750000000,-29.2691813116,2.5111610870e-04
0,-0.3750000000,-29.2391770253,2.6478561165e-04
0,-0.3750000000,-29.2091727390,2.8363715081e-04
0,-0.3750000000,-29.1791684526,3.0829437828e-04
0,-0.3750000000,-29.1491641663,3.3862063289e-04
0,-0.3750000000,-29.1191598800,3.7358751284e-04
0,-0.3750000000,-29.0891555937,4.1191568440e-04
0,-0.3750000000,-29.0591513073,4.5360651009e-04
0,-0.3750000000,-29.0291470210,5.0073760855e-04
0,-0.3750000000,-28.9991427347,5.5593608506e-04
0,-0.3750000000,-28.9691384483,6.1888702216e-04
0,-0.3750000000,-28.9391341620,6.8216260258e-04
0,-0.3750000000,-28.9091298757,7.2958126450e-04
0,-0.3750000000,-28.8791255894,7.4272841669e-04
0,-0.3750000000,-28.8491213030,7.1479979961e-04
0,-0.3750000000,-28.8191170167,6.5701295140e-04
0,-0.3750000000,-28.7891127304,5.8902366305e-04
0,-0.3750000000,-28.7591084441,5.2626648629e-04
0,-0.3750000000,-28.7291041577,4.7570676319e-04
0,-0.3750000000,-28.6990998714,4.3755937859e-04
0,-0.3750000000,-28.6690955851,4.0794294053e-04
0,-0.3750000000,-28.6390912988,3.8147706822e-04
0,-0.3750000000,-28.6090870124,3.5438198610e-04
0,-0.3750000000,-28.5790827261,3.2644535060e-04
0,-0.3750000000,-28.5490784398,2.9985789213e-04
0,-0.3750000000,-28.5190741535,2.7667352260e-04
0,-0.3750000000,-28.4890698671,2.5761246034e-04
0,-0.3750000000,-28.4590655808,2.4238431947e-04
0,-0.3750000000,-28.4290612945,2.3048802511e-04
0,-0.3750000000,-28.3990570081,2.2170049250e-04
0,-0.3750000000,-28.3690527218,2.1605831849e-04
0,-0.3750000000,-28.3390484355,2.1367280799e-04
0,-0.3750000000,-28.3090441492,2.1467187109e-04
0,-0.3750000000,-28.2790398628,2.1923056792e-04
0,-0.3750000000,-28.2490355765,2.2751146965e-04
0,-0.3750000000,-28.2190312902,2.3935667682e-04
0,-0.3750000000,-28.1890270039,2.5365953343e-04
0,-0.3750000000,-28.1590227175,2.6761121799e-04
