sweep,series,mapping,distance_A,energy_eV,atoms_eV,binding_eV,num_operators
pool,fermionic,jordan_wigner,1.0,-206.96154944411194,-208.8811211853651,1.9195717412531508,10
pool,qubit,jordan_wigner,1.0,-206.9615488615623,-208.8811211853651,1.9195723238027824,14
pool,qeb,jordan_wigner,1.0,-206.96154944410767,-208.8811211853651,1.919571741257414,10
pool,ceo,jordan_wigner,1.0,-206.96154944410767,-208.8811211853651,1.919571741257414,10
mapping,jordan_wigner,jordan_wigner,1.0,-206.96154944411194,-208.8811211853651,1.9195717412531508,10
mapping,parity,parity,1.0,-206.9615494441017,-208.8811211853651,1.9195717412633826,10
mapping,bravyi_kitaev,bravyi_kitaev,1.0,-206.96154944406865,-208.8811211853651,1.919571741296437,10
pool,fermionic,jordan_wigner,1.3,-209.50032347496006,-208.8811211853651,-0.6192022895949663,10
pool,qubit,jordan_wigner,1.3,-209.50032335311786,-208.8811211853651,-0.6192021677527748,14
pool,qeb,jordan_wigner,1.3,-209.5003234749502,-208.8811211853651,-0.6192022895851039,10
pool,ceo,jordan_wigner,1.3,-209.5003234749502,-208.8811211853651,-0.6192022895851039,10
mapping,jordan_wigner,jordan_wigner,1.3,-209.50032347496006,-208.8811211853651,-0.6192022895949663,10
mapping,parity,parity,1.3,-209.50032347496767,-208.8811211853651,-0.6192022896025833,10
mapping,bravyi_kitaev,bravyi_kitaev,1.3,-209.50032347486516,-208.8811211853651,-0.6192022895000662,10
pool,fermionic,jordan_wigner,1.6,-210.1300863026472,-208.8811211853651,-1.248965117282097,11
pool,qubit,jordan_wigner,1.6,-210.130084304768,-208.8811211853651,-1.2489631194029016,14
pool,qeb,jordan_wigner,1.6,-210.1300863026416,-208.8811211853651,-1.248965117276498,11
pool,ceo,jordan_wigner,1.6,-210.1300863026416,-208.8811211853651,-1.248965117276498,11
mapping,jordan_wigner,jordan_wigner,1.6,-210.1300863026472,-208.8811211853651,-1.248965117282097,11
mapping,parity,parity,1.6,-210.1300863026821,-208.8811211853651,-1.2489651173169989,11
mapping,bravyi_kitaev,bravyi_kitaev,1.6,-210.13008630266557,-208.8811211853651,-1.2489651173004859,11
pool,fermionic,jordan_wigner,1.9,-210.11334849049567,-208.8811211853651,-1.2322273051305785,11
pool,qubit,jordan_wigner,1.9,-210.11334771932212,-208.8811211853651,-1.2322265339570322,14
pool,qeb,jordan_wigner,1.9,-210.11334849049774,-208.8811211853651,-1.2322273051326533,11
pool,ceo,jordan_wigner,1.9,-210.11334849049774,-208.8811211853651,-1.2322273051326533,11
mapping,jordan_wigner,jordan_wigner,1.9,-210.11334849049567,-208.8811211853651,-1.2322273051305785,11
mapping,parity,parity,1.9,-210.11334849060083,-208.8811211853651,-1.2322273052357389,11
mapping,bravyi_kitaev,bravyi_kitaev,1.9,-210.11334849058002,-208.8811211853651,-1.2322273052149342,11
pool,fermionic,jordan_wigner,2.2,-209.88902329676185,-208.8811211853651,-1.00790211139676,11
pool,qubit,jordan_wigner,2.2,-209.88902264446793,-208.8811211853651,-1.0079014591028397,14
pool,qeb,jordan_wigner,2.2,-209.8890232967494,-208.8811211853651,-1.0079021113843112,11
pool,ceo,jordan_wigner,2.2,-209.8890232967494,-208.8811211853651,-1.0079021113843112,11
mapping,jordan_wigner,jordan_wigner,2.2,-209.88902329676185,-208.8811211853651,-1.00790211139676,11
mapping,parity,parity,2.2,-209.88902329678638,-208.8811211853651,-1.0079021114212878,11
mapping,bravyi_kitaev,bravyi_kitaev,2.2,-209.8890232967662,-208.8811211853651,-1.0079021114011084,11
pool,fermionic,jordan_wigner,2.6,-209.54484822596652,-208.8811211853651,-0.6637270406014295,12
pool,qubit,jordan_wigner,2.6,-209.5448473670033,-208.8811211853651,-0.6637261816382249,14
pool,qeb,jordan_wigner,2.6,-209.54484822569643,-208.8811211853651,-0.663727040331338,11
pool,ceo,jordan_wigner,2.6,-209.54484822569643,-208.8811211853651,-0.663727040331338,11
mapping,jordan_wigner,jordan_wigner,2.6,-209.54484822596652,-208.8811211853651,-0.6637270406014295,12
mapping,parity,parity,2.6,-209.54484822584413,-208.8811211853651,-0.6637270404790456,12
mapping,bravyi_kitaev,bravyi_kitaev,2.6,-209.5448482253483,-208.8811211853651,-0.6637270399832005,11
pool,fermionic,jordan_wigner,2.8,-209.39403787281532,-208.8811211853651,-0.5129166874502289,10
pool,qubit,jordan_wigner,2.8,-209.3940369661776,-208.8811211853651,-0.5129157808125058,14
pool,qeb,jordan_wigner,2.8,-209.39403787323636,-208.8811211853651,-0.5129166878712681,10
pool,ceo,jordan_wigner,2.8,-209.39403787323636,-208.8811211853651,-0.5129166878712681,10
mapping,jordan_wigner,jordan_wigner,2.8,-209.39403787281532,-208.8811211853651,-0.5129166874502289,10
mapping,parity,parity,2.8,-209.39403787311545,-208.8811211853651,-0.5129166877503621,10
mapping,bravyi_kitaev,bravyi_kitaev,2.8,-209.39403786943433,-208.8811211853651,-0.5129166840692392,10
