z_H (A),d_LiH (A),E (eV),E - E_min (eV)
5.50,0.5000,15.22121341,18.99480040
5.60,0.6000,9.45901042,13.23259741
5.70,0.7000,5.34843015,9.12201714
5.80,0.8000,2.38726000,6.16084699
5.90,0.9000,0.26614407,4.03973106
6.00,1.0000,-1.22761270,2.54597429
6.10,1.1000,-2.25198215,1.52160484
6.20,1.2000,-2.93021014,0.84337685
6.30,1.3000,-3.35869932,0.41488767
6.40,1.4000,-3.60983899,0.16374800
6.50,1.5000,-3.73577159,0.03781540
6.60,1.6000,-3.77358699,0.00000000
6.70,1.7000,-3.74968818,0.02389881
6.80,1.8000,-3.68292584,0.09066115
6.90,1.9000,-3.58696071,0.18662628
7.00,2.0000,-3.47176650,0.30182049
7.10,2.1000,-3.34463921,0.42894778
7.20,2.2000,-3.21087841,0.56270858
7.30,2.3000,-3.07435328,0.69923371
7.40,2.4000,-2.93793214,0.83565485
7.50,2.5000,-2.80370410,0.96988289
