schedule,step,temperature,energy_Ha,error_Ha,max_gradient,operator
exponential,1,2.0,-6.8822103968,6.032e-03,5.027060e-01,"QD(0,3->2,5)"
exponential,2,1.1145629734096199,-6.8849852621,3.258e-03,1.149616e-01,"QD(1,4->2,5)"
exponential,3,0.6211253108478464,-6.8861501236,2.093e-03,9.365749e-02,"QD(1,3->2,5)"
exponential,4,0.346141636659275,-6.8862101492,2.033e-03,9.239328e-02,QS(1->2)
exponential,5,0.1928983258879169,-6.8866863356,1.557e-03,9.222315e-02,QS(3->5)
exponential,6,0.10749866583368725,-6.8866863362,1.557e-03,9.475922e-02,"QD(1,3->2,5)"
exponential,7,0.05990701631458078,-6.8869346779,1.308e-03,9.475544e-02,QS(0->2)
exponential,8,0.03338507111583889,-6.8881816440,6.125e-05,9.665958e-02,"QD(0,4->2,5)"
exponential,9,0.018604882065180496,-6.8881816441,6.125e-05,9.302557e-03,"QD(1,3->2,5)"
exponential,10,0.010368156337251445,-6.8882428842,9.383e-09,9.299280e-03,QS(4->5)
exponential,11,0.005777981578011379,-6.8882428926,1.000e-09,1.881678e-04,QS(3->5)
exponential,12,0.003219962163947186,-6.8882428932,3.410e-10,5.070151e-05,QS(3->5)
exponential,13,0.0017944253018577238,-6.8882428934,1.947e-10,2.066338e-05,QS(3->5)
exponential,14,0.001,-6.8882428934,1.179e-10,1.612096e-05,QS(4->5)
greedy (tau=1e-6),1,1e-06,-6.8822103968,6.032e-03,5.027060e-01,"QD(0,3->2,5)"
greedy (tau=1e-6),2,1e-06,-6.8849852621,3.258e-03,1.149616e-01,"QD(1,4->2,5)"
greedy (tau=1e-6),3,1e-06,-6.8861501236,2.093e-03,9.365749e-02,"QD(1,3->2,5)"
greedy (tau=1e-6),4,1e-06,-6.8872840090,9.589e-04,9.239328e-02,"QD(0,4->2,5)"
greedy (tau=1e-6),5,1e-06,-6.8877735593,4.693e-04,5.872463e-02,QS(0->2)
greedy (tau=1e-6),6,1e-06,-6.8880775399,1.654e-04,4.511977e-02,QS(3->5)
greedy (tau=1e-6),7,1e-06,-6.8881783993,6.449e-05,1.215381e-02,QS(1->2)
greedy (tau=1e-6),8,1e-06,-6.8882428936,6.485e-12,9.512799e-03,QS(4->5)
constant tau=0.5,1,0.5,-6.8822103968,6.032e-03,5.027060e-01,"QD(0,3->2,5)"
constant tau=0.5,2,0.5,-6.8849852621,3.258e-03,1.149616e-01,"QD(1,4->2,5)"
constant tau=0.5,3,0.5,-6.8861501236,2.093e-03,9.365749e-02,"QD(1,3->2,5)"
constant tau=0.5,4,0.5,-6.8862101492,2.033e-03,9.239328e-02,QS(1->2)
constant tau=0.5,5,0.5,-6.8866863356,1.557e-03,9.222315e-02,QS(3->5)
constant tau=0.5,6,0.5,-6.8866863362,1.557e-03,9.475922e-02,"QD(1,3->2,5)"
constant tau=0.5,7,0.5,-6.8869346779,1.308e-03,9.475544e-02,QS(0->2)
constant tau=0.5,8,0.5,-6.8869346783,1.308e-03,9.665958e-02,"QD(1,3->2,5)"
constant tau=0.5,9,0.5,-6.8869346784,1.308e-03,9.666219e-02,"QD(1,3->2,5)"
constant tau=0.5,10,0.5,-6.8869424122,1.300e-03,9.666121e-02,QS(4->5)
constant tau=0.5,11,0.5,-6.8869424129,1.300e-03,9.775494e-02,QS(3->5)
constant tau=0.5,12,0.5,-6.8869424130,1.300e-03,9.775483e-02,QS(3->5)
constant tau=0.5,13,0.5,-6.8869424132,1.300e-03,9.775462e-02,QS(3->5)
constant tau=0.5,14,0.5,-6.8869424133,1.300e-03,9.775565e-02,QS(4->5)
linear,1,2.0,-6.8822103968,6.032e-03,5.027060e-01,"QD(0,3->2,5)"
