schedule,step,temperature,energy_Ha,error_Ha,max_gradient,operator
exponential,1,2.0,-187.2744853328,-1.804e+02,5.027060e-01,"QD(0,3->2,5)"
exponential,2,1.1145629734096199,-187.3499932643,-1.805e+02,1.149616e-01,"QD(1,4->2,5)"
exponential,3,0.6211253108478464,-187.3816907616,-1.805e+02,9.365751e-02,"QD(1,3->2,5)"
exponential,4,0.346141636659275,-187.3833241394,-1.805e+02,9.239328e-02,QS(1->2)
exponential,5,0.1928983258879169,-187.3962818319,-1.805e+02,9.222312e-02,QS(3->5)
exponential,6,0.10749866583368725,-187.3962818469,-1.805e+02,9.475935e-02,"QD(1,3->2,5)"
exponential,7,0.05990701631458078,-187.4030395719,-1.805e+02,9.475595e-02,QS(0->2)
exponential,8,0.03338507111583889,-187.4369712456,-1.805e+02,9.665939e-02,"QD(0,4->2,5)"
exponential,9,0.018604882065180496,-187.4369712492,-1.805e+02,9.302310e-03,"QD(1,3->2,5)"
exponential,10,0.010368156337251445,-187.4386379227,-1.806e+02,9.300512e-03,QS(4->5)
exponential,11,0.005777981578011379,-187.4386379307,-1.806e+02,3.246555e-05,QS(3->5)
exponential,12,0.003219962163947186,-187.4386379317,-1.806e+02,1.071258e-05,QS(3->5)
greedy (tau=1e-6),1,1e-06,-187.2744853328,-1.804e+02,5.027060e-01,"QD(0,3->2,5)"
greedy (tau=1e-6),2,1e-06,-187.3499932643,-1.805e+02,1.149616e-01,"QD(1,4->2,5)"
greedy (tau=1e-6),3,1e-06,-187.3816907616,-1.805e+02,9.365751e-02,"QD(1,3->2,5)"
greedy (tau=1e-6),4,1e-06,-187.4125453548,-1.805e+02,9.239328e-02,"QD(0,4->2,5)"
greedy (tau=1e-6),5,1e-06,-187.4258666970,-1.805e+02,5.872471e-02,QS(0->2)
greedy (tau=1e-6),6,1e-06,-187.4341384314,-1.805e+02,4.511971e-02,QS(3->5)
greedy (tau=1e-6),7,1e-06,-187.4368829555,-1.805e+02,1.215384e-02,QS(1->2)
greedy (tau=1e-6),8,1e-06,-187.4386379328,-1.806e+02,9.512804e-03,QS(4->5)
constant tau=0.5,1,0.5,-187.2744853328,-1.804e+02,5.027060e-01,"QD(0,3->2,5)"
constant tau=0.5,2,0.5,-187.3499932643,-1.805e+02,1.149616e-01,"QD(1,4->2,5)"
constant tau=0.5,3,0.5,-187.3816907616,-1.805e+02,9.365751e-02,"QD(1,3->2,5)"
constant tau=0.5,4,0.5,-187.3833241394,-1.805e+02,9.239328e-02,QS(1->2)
constant tau=0.5,5,0.5,-187.3962818319,-1.805e+02,9.222312e-02,QS(3->5)
constant tau=0.5,6,0.5,-187.3962818469,-1.805e+02,9.475935e-02,"QD(1,3->2,5)"
constant tau=0.5,7,0.5,-187.4030395719,-1.805e+02,9.475595e-02,QS(0->2)
constant tau=0.5,8,0.5,-187.4030395828,-1.805e+02,9.665939e-02,"QD(1,3->2,5)"
constant tau=0.5,9,0.5,-187.4030395843,-1.805e+02,9.666229e-02,"QD(1,3->2,5)"
constant tau=0.5,10,0.5,-187.4032500411,-1.805e+02,9.666130e-02,QS(4->5)
constant tau=0.5,11,0.5,-187.4032500534,-1.805e+02,9.776036e-02,QS(3->5)
constant tau=0.5,12,0.5,-187.4032500575,-1.805e+02,9.776111e-02,QS(3->5)
constant tau=0.5,13,0.5,-187.4032500597,-1.805e+02,9.776173e-02,QS(3->5)
constant tau=0.5,14,0.5,-187.4032500630,-1.805e+02,9.776052e-02,QS(4->5)
linear,1,2.0,-187.2744853328,-1.804e+02,5.027060e-01,"QD(0,3->2,5)"
linear,2,1.8462307692307691,-187.3499932643,-1.805e+02,1.149616e-01,"QD(1,4->2,5)"
linear,3,1.6924615384615385,-187.3816907616,-1.805e+02,9.365751e-02,"QD(1,3->2,5)"
linear,4,1.5386923076923076,-187.3833241394,-1.805e+02,9.239328e-02,QS(1->2)
linear,5,1.384923076923077,-187.3962818319,-1.805e+02,9.222312e-02,QS(3->5)
linear,6,1.231153846153846,-187.3962818469,-1.805e+02,9.475935e-02,"QD(1,3->2,5)"
linear,7,1.0773846153846152,-187.4030395719,-1.805e+02,9.475595e-02,QS(0->2)
linear,8,0.9236153846153845,-187.4030395828,-1.805e+02,9.665939e-02,"QD(1,3->2,5)"
linear,9,0.7698461538461536,-187.4030395843,-1.805e+02,9.666229e-02,"QD(1,3->2,5)"
linear,10,0.616076923076923,-187.4032500411,-1.805e+02,9.666130e-02,QS(4->5)
linear,11,0.4623076923076921,-187.4032500534,-1.805e+02,9.776036e-02,QS(3->5)
linear,12,0.30853846153846143,-187.4032500575,-1.805e+02,9.776111e-02,QS(3->5)
linear,13,0.15476923076923055,-187.4032500597,-1.805e+02,9.776173e-02,QS(3->5)
linear,14,0.0009999999999998899,-187.4386375956,-1.806e+02,9.776052e-02,"QD(0,4->2,5)"
logarithmic,1,2.0,-187.2744853328,-1.804e+02,5.027060e-01,"QD(0,3->2,5)"
logarithmic,2,1.47496357946065,-187.3499932643,-1.805e+02,1.149616e-01,"QD(1,4->2,5)"
logarithmic,3,1.167836961932267,-187.3816907616,-1.805e+02,9.365751e-02,"QD(1,3->2,5)"
logarithmic,4,0.9499271589213001,-187.3833241394,-1.805e+02,9.239328e-02,QS(1->2)
logarithmic,5,0.7809031843105871,-187.3962818319,-1.805e+02,9.222312e-02,QS(3->5)
logarithmic,6,0.6428005413929172,-187.3962818469,-1.805e+02,9.475935e-02,"QD(1,3->2,5)"
logarithmic,7,0.52603642053935,-187.4030395719,-1.805e+02,9.475595e-02,QS(0->2)
logarithmic,8,0.42489073838195024,-187.4030395828,-1.805e+02,9.665939e-02,"QD(1,3->2,5)"
logarithmic,9,0.3356739238645343,-187.4030395843,-1.805e+02,9.666229e-02,"QD(1,3->2,5)"
logarithmic,10,0.25586676377123707,-187.4032500411,-1.805e+02,9.666130e-02,QS(4->5)
logarithmic,11,0.18367240585002365,-187.4032500534,-1.805e+02,9.776036e-02,QS(3->5)
logarithmic,12,0.11776412085356736,-187.4032500575,-1.805e+02,9.776111e-02,QS(3->5)
logarithmic,13,0.057134375965559814,-187.4032500601,-1.805e+02,9.776173e-02,QS(4->5)
logarithmic,14,0.0009999999999998899,-187.4386378296,-1.806e+02,9.776086e-02,"QD(0,4->2,5)"
